method,metric,scheme,n,clusters,early,interleaved,difference_m,percent_change,ci_low_m,ci_high_m,exploratory_not_multiplicity_adjusted
WCL_raw,p90,spatial1000,1198,41,1483.5888894492016,1483.5888894492016,0.0,0.0,0.0,0.0,True
WCL_bc,p90,spatial1000,1198,41,1627.2381410256385,1590.9300280143987,36.30811301123981,2.28219421168101,-14.122764796580764,146.762457697369,True
ABS_mean,p90,spatial1000,1198,41,1835.9932444995636,1637.0714167293286,198.92182777023504,12.151078183727426,92.22731514848304,386.4907115807349,True
DIFF_median,p90,spatial1000,1198,41,3480.9450726352816,3504.938659782328,-23.993587147046583,-0.6845651087239446,-232.5651636443034,157.0525855858833,True
MinMax,p90,spatial1000,1198,41,1356.2444981853944,1300.9375344190682,55.306963766326135,4.251315862834515,-15.99853247653307,178.78201213770933,True
WCL_raw,mean,UTC_day,1198,16,712.7898212775569,712.7898212775569,0.0,0.0,0.0,0.0,True
WCL_bc,mean,UTC_day,1198,16,774.6337114579029,757.7658550671117,16.86785639079119,2.2259984767058816,5.858586215285337,27.091871400192787,True
ABS_mean,mean,UTC_day,1198,16,816.4428086878818,752.2345434220468,64.20826526583494,8.53567093233185,40.109575741805486,88.2264041772672,True
DIFF_median,mean,UTC_day,1198,16,1504.2508567408292,1500.4874268119113,3.763429928917958,0.25081382633869165,-36.55930815197456,38.68263980416951,True
MinMax,mean,UTC_day,1198,16,632.8846474398757,619.7145601486937,13.170087291181972,2.1251860353292296,5.987599642684063,20.42647022595129,True
WCL_raw,p90,UTC_day,1198,16,1483.5888894492016,1483.5888894492016,0.0,0.0,0.0,0.0,True
WCL_bc,p90,UTC_day,1198,16,1627.2381410256385,1590.9300280143987,36.30811301123981,2.28219421168101,-16.466496643648348,91.46908930878067,True
ABS_mean,p90,UTC_day,1198,16,1835.9932444995636,1637.0714167293286,198.92182777023504,12.151078183727426,149.43539223289773,286.8021054803644,True
DIFF_median,p90,UTC_day,1198,16,3480.9450726352816,3504.938659782328,-23.993587147046583,-0.6845651087239446,-184.49601249941804,81.04607459980616,True
MinMax,p90,UTC_day,1198,16,1356.2444981853944,1300.9375344190682,55.306963766326135,4.251315862834515,7.24723385762905,91.58683459016278,True
