working_index0,csv_row_index0,x,y,rx_time,selected_receivers,official_error_m,rssfit_stable_error_m,rssfit_prior_default_error_m,official_x,official_y,rssfit_x,rssfit_y
24725,58215,597910.8482867626,5674172.712131167,2019-02-04T12:33:36.864+01:00,32;27;14;19,532.5891862397975,3043.7409635527906,3044.1045596806234,597692.978415778,5674658.699744812,600334.4925239778,5676013.990943466
32359,76308,599115.8326862595,5672361.355093548,2019-01-21T16:29:05.151+01:00,10;2;69,153.33251332812904,817.1086718644881,816.7628484227927,599184.072053386,5672498.665866679,599239.8879543212,5673168.991690108
12325,28854,599134.7653538676,5672411.369779962,2019-01-08T08:52:23.846+01:00,10;2;69;11,108.56469354601847,720.3082389730871,719.562527150363,599206.6639465488,5672492.714017958,598881.0051467451,5673085.4986373875
14129,32958,598200.8853299109,5674134.119593807,2019-01-08T09:08:33.056+01:00,27;14;32;18,261.991420364308,3897.6890280263615,3897.9980243642217,597945.0779522586,5674190.706605419,601448.4033830244,5676289.486442837
17350,40638,598302.7362833153,5676469.586291578,2019-02-05T09:52:34.866774477+01:00,14;6;20;34;4,822.763564340853,4223.42757886122,4223.339292242245,597602.6751209084,5676901.852704449,602513.6662311929,5676144.918017868
50939,120135,599235.6382878278,5675106.694920381,2019-02-05T08:38:29.203034617+01:00,9;12;70,492.7225242052942,4312.280523317281,4312.280523317281,599728.2721722992,5675116.040600125,602552.4055979267,5677862.564641982
6169,14309,599128.7197081356,5672415.496631359,2019-01-07T12:52:15.332+01:00,10;2;69,103.64603071581922,690.030086120671,689.2825941150687,599206.178614963,5672484.363295546,598883.0045252932,5673060.29549044
27403,64550,599101.467418134,5672418.36557837,2019-02-04T08:34:52.013+01:00,10;2;69,115.18204189390586,854.5377293197661,854.401338688585,599176.3294371425,5672505.901747379,599441.8067987447,5673202.204743529
28116,66238,599123.5827353107,5672372.537828544,2019-02-05T07:37:29.962+01:00,10;69;2,133.61144775264444,819.3582264965798,818.755488471167,599184.6578935358,5672491.373193728,598991.5736824747,5673181.19196555
34646,81654,599042.3844408897,5674649.750868759,2019-01-17T10:22:00.473582140+01:00,2;9;14;32;12;7;27,232.27820713182481,3543.6371947957023,3543.6467107952026,599213.589178759,5674492.772834501,602585.6251587148,5674702.7582633905
46873,110672,598367.1914774361,5674713.998762745,2019-01-24T16:02:13.380244490+01:00,14;32;27,216.74093781531397,3817.529886344104,3817.6621264086757,598275.0980304314,5674910.20128858,602168.5074097967,5675065.469409474
