experiment,draw_index0,retained_receivers,method,parent_n,coverage_fraction,n_ineligible,full_parent_median_m,full_survivor_median_m,removal_component_m,selection_component_m,total_displayed_change_m,n,median_m,mean_m,p90_m,over_1km_fraction,FP_all_parent_median_m
removal_10_1,1,10,FP_k3,2495,0.0853707414829659,2282,219.29225647763056,39.0781691187937,-1.802914357423795,-180.21408735883685,-182.0170017162607,213,37.27525476136991,415.7990159795241,1315.8219674157874,0.1830985915492957,646.1080972209912
removal_10_1,1,10,MinMax,2495,0.0853707414829659,2282,467.635802988949,665.3670750223074,248.6758482160867,197.7312720333584,446.4071202494451,213,914.042923238394,895.1403090820335,1857.9238158863652,0.4835680751173709,
removal_10_2,2,10,FP_k3,2495,0.1206412825651302,2194,219.29225647763056,310.3532170511285,222.417983522526,91.06096057349797,313.47894409602395,301,532.7712005736545,717.9331870219721,1483.1452747467783,0.2491694352159468,1113.1896766880725
removal_10_2,2,10,MinMax,2495,0.1206412825651302,2194,467.635802988949,790.3451857223685,582.4421233532797,322.70938273341943,905.1515060866992,301,1372.7873090756482,1266.0500181210425,2069.297645809688,0.6445182724252492,
removal_10_3,3,10,FP_k3,2495,0.0913827655310621,2267,219.29225647763056,323.29939797840046,235.15427323991963,104.0071415007699,339.1614147406896,228,558.4536712183201,736.5964830932822,1597.91744205382,0.2850877192982456,830.7657439236648
removal_10_3,3,10,MinMax,2495,0.0913827655310621,2267,467.635802988949,817.4966181179511,501.4646078576575,349.8608151290021,851.3254229866595,228,1318.9612259756086,1335.5501080339166,2307.6902149917883,0.6491228070175439,
removal_10_4,4,10,FP_k3,2495,0.2200400801603206,1946,219.29225647763056,310.42129789301333,254.6438445134042,91.12904141538276,345.772885928787,549,565.0651424064175,707.994642030186,1467.019206178374,0.2622950819672131,630.3576324969641
removal_10_4,4,10,MinMax,2495,0.2200400801603206,1946,467.635802988949,673.0557130828819,22.57451955865656,205.41991009393288,227.99442965258945,549,695.6302326415384,796.845613929804,1444.5983156273655,0.2987249544626594,
removal_10_5,5,10,FP_k3,2495,0.28937875751503,1773,219.29225647763056,299.3317478476447,171.30968917059374,80.03949137001413,251.34918054060788,722,470.6414370182384,622.5837834799913,1385.6399276137436,0.1786703601108033,531.5164934412024
removal_10_5,5,10,MinMax,2495,0.28937875751503,1773,467.635802988949,600.791358514881,223.69446085805637,133.15555552593202,356.8500163839884,722,824.4858193729374,999.5403891404228,2155.8009865624003,0.3836565096952908,
removal_10_6,6,10,FP_k3,2495,0.096192384769539,2255,219.29225647763056,327.5347116090045,102.04228564151408,108.24245513137392,210.284740772888,240,429.57699725051856,608.822328921104,1317.5309319672467,0.1708333333333333,762.8198011458513
removal_10_6,6,10,MinMax,2495,0.096192384769539,2255,467.635802988949,688.3059355138007,10.472807770211148,220.67013252485168,231.14294029506283,240,698.7787432840119,903.0168899979546,2036.543983112184,0.3208333333333333,
removal_10_7,7,10,FP_k3,2495,0.1402805611222445,2145,219.29225647763056,281.778986753956,70.53868547995825,62.48673027632546,133.0254157562837,350,352.31767223391427,450.7036192558976,912.7356078201452,0.0828571428571428,452.3057895361336
removal_10_7,7,10,MinMax,2495,0.1402805611222445,2145,467.635802988949,793.3236550031843,42.35630596535407,325.68785201423526,368.0441579795893,350,835.6799609685384,948.006445417799,1645.9365902662817,0.3571428571428571,
removal_6_0,0,6,FP_k3,2495,0.0521042084168336,2365,219.29225647763056,316.7167570827648,191.79588240635712,97.42450060513416,289.2203830114913,130,508.51263948912185,671.086903226958,1265.6029909721942,0.2307692307692307,1255.027461829814
removal_6_0,0,6,MinMax,2495,0.0521042084168336,2365,467.635802988949,748.6694153489765,1104.263135595786,281.03361236002746,1385.296747955813,130,1852.9325509447624,1786.939510908867,2466.742467031644,0.9153846153846154,
removal_6_1,1,6,FP_k3,2495,0.0128256513026052,2463,219.29225647763056,333.4654369637459,187.2592592745765,114.17318048611534,301.43243976069186,32,520.7246962383224,619.2013294921751,1227.0925834470152,0.1875,919.150267461589
removal_6_1,1,6,MinMax,2495,0.0128256513026052,2463,467.635802988949,732.5171013714837,895.0782632149674,264.8812983825347,1159.959561597502,32,1627.595364586451,1447.834687615927,2182.442155941151,0.59375,
removal_6_2,2,6,FP_k3,2495,0.0100200400801603,2470,219.29225647763056,603.6470345000016,13.805006053039278,384.3547780223711,398.1597840754104,25,617.4520405530409,672.9354993664382,1175.8068947247143,0.28,1248.007455297499
removal_6_2,2,6,MinMax,2495,0.0100200400801603,2470,467.635802988949,1162.473730645698,-3.9192085653724007,694.8379276567489,690.9187190913765,25,1158.5545220803256,1228.628222079371,2045.8695677349192,0.6,
removal_6_3,3,6,FP_k3,2495,0.1098196392785571,2221,219.29225647763056,277.52584034484585,141.27463713778377,58.23358386721529,199.50822100499903,274,418.8004774826296,562.393442300265,1313.3405788071093,0.1751824817518248,994.0955940079748
removal_6_3,3,6,MinMax,2495,0.1098196392785571,2221,467.635802988949,833.3642648538804,250.3849071782296,365.7284618649314,616.1133690431609,274,1083.74917203211,1121.0923942357508,1710.739590737105,0.5912408759124088,
removal_6_4,4,6,FP_k3,2495,0.0048096192384769,2483,219.29225647763056,379.3080751204864,-100.15425013699593,160.0158186428558,59.86156850585988,12,279.15382498349044,387.97651290648014,851.4111606447024,0.0833333333333333,1403.4842742942385
removal_6_4,4,6,MinMax,2495,0.0048096192384769,2483,467.635802988949,1304.1728459736364,40.39405000881584,836.5370429846873,876.9310929935032,12,1344.5668959824525,1402.7837519245747,1707.4198256191862,0.8333333333333334,
removal_6_5,5,6,FP_k3,2495,0.0368737474949899,2403,219.29225647763056,361.3912574988334,71.61172677631032,142.09900102120284,213.7107277975132,92,433.0029842751437,652.2201891356852,1487.8735305196396,0.25,1073.491915402079
removal_6_5,5,6,MinMax,2495,0.0368737474949899,2403,467.635802988949,924.4347794058164,540.2927895992823,456.79897641686745,997.0917660161496,92,1464.7275690050988,1362.7454484677232,2333.0955653959863,0.6195652173913043,
removal_6_6,6,6,FP_k3,2495,0.0216432865731462,2441,219.29225647763056,413.04884212579634,392.0744949921466,193.75658564816575,585.8310806403124,54,805.1233371179429,829.9722354209797,1521.4065504751509,0.2962962962962963,935.1942250797584
removal_6_6,6,6,MinMax,2495,0.0216432865731462,2441,467.635802988949,611.9490537729528,500.4836620390622,144.31325078400374,644.7969128230659,54,1112.432715812015,1124.4243640074196,1691.840190489981,0.5370370370370371,
removal_6_7,7,6,FP_k3,2495,0.0016032064128256,2491,219.29225647763056,203.01986572097084,512.6980525573032,-16.272390756659718,496.4256618006435,4,715.717918278274,707.3866795411972,1304.4226882964565,0.5,948.7697278959396
removal_6_7,7,6,MinMax,2495,0.0016032064128256,2491,467.635802988949,1138.5507221893154,683.5317233024989,670.9149192003663,1354.4466425028652,4,1822.0824454918145,2432.871634521901,3579.762441469833,1.0,
