experiment,contrast,scheme,replicates,n_messages,n_units,draw_size_min,draw_size_max,difference_m,ratio,difference_low_m,difference_high_m,ratio_low,ratio_high
removal_23_2,MinMax_minus_FP_on_survivors,paired_messages,6000,1243,1243,1243,1243,440.3709812951355,2.229092426802911,404.5108674492367,488.305207789912,2.0964835667958233,2.3980688179457283
removal_23_2,FP_removal_on_survivors,spatial_1000m,6000,1243,38,407,2906,41.64502535335771,1.1315197995591997,13.397085657191951,81.02340287868877,1.0364257272793722,1.2863608240398854
removal_23_2,MinMax_removal_on_survivors,spatial_1000m,6000,1243,38,407,2906,133.6010152929847,1.2008858014089383,30.3410971775812,214.1477553362262,1.048168885649177,1.3044582219510819
removal_23_2,MinMax_minus_FP_on_survivors,spatial_1000m,6000,1243,38,407,2906,440.3709812951355,2.229092426802911,250.9353170708916,584.6126807462755,1.6231472711118102,2.7533672798548126
removal_23_3,FP_removal_on_survivors,paired_messages,6000,1438,1438,1438,1438,33.04965303278743,1.1025787422689837,15.646440836404695,54.960624568693596,1.0476638314547095,1.1747634025187297
removal_23_3,MinMax_removal_on_survivors,paired_messages,6000,1438,1438,1438,1438,-42.47531417794676,0.9337376792202637,-65.57508796929838,-19.265917653283047,0.8977373553284635,0.9701716685413966
removal_23_3,MinMax_minus_FP_on_survivors,paired_messages,6000,1438,1438,1438,1438,243.30450907662544,1.6849060586349547,207.6266604719576,279.67129015408676,1.5627094979730265,1.807641777541408
removal_23_3,FP_removal_on_survivors,spatial_1000m,6000,1438,35,427,3551,33.04965303278743,1.1025787422689837,16.582779455678583,85.65788444914772,1.0508532731479476,1.246015467490934
removal_23_3,MinMax_removal_on_survivors,spatial_1000m,6000,1438,35,427,3551,-42.47531417794676,0.9337376792202637,-85.51560383298978,2.779901745009947,0.8498896214986033,1.0040809533141877
removal_23_3,MinMax_minus_FP_on_survivors,spatial_1000m,6000,1438,35,427,3551,243.30450907662544,1.6849060586349547,123.12201722223026,333.688548842152,1.3156093455391058,1.9642735406596945
