experiment,contrast,scheme,replicates,n_messages,n_units,draw_size_min,draw_size_max,difference_m,ratio,difference_low_m,difference_high_m,ratio_low,ratio_high
geo_west_3101,ABS_mean_opposite_minus_citywide,paired_messages,6000,1218,1218,1218,1218,238.6454381088497,1.3834643714787387,201.4048888485074,268.3906462143431,1.3078865355373142,1.441414118762805
geo_west_3101,DIFF_median_opposite_minus_citywide,paired_messages,6000,1218,1218,1218,1218,-102.74771798850406,0.9275369795595448,-188.7825631441225,-22.015378194836977,0.8713682723052599,0.9838638708491259
geo_west_3101,MinMax_opposite_minus_citywide,paired_messages,6000,1218,1218,1218,1218,120.05599544889776,1.211407903373029,96.36571561921133,144.23121653355898,1.1678201835521913,1.2551431099790258
geo_west_3101,FP_k3_opposite_minus_citywide,spatial_500m,6000,1218,62,519,2023,820.5610541922847,3.6963913450928376,656.1202952392587,1102.351403874158,3.1262456756468437,4.673522546777063
geo_west_3101,WCL_raw_opposite_minus_citywide,spatial_500m,6000,1218,62,519,2023,0.0,1.0,0.0,0.0,1.0,1.0
geo_west_3101,WCL_bc_opposite_minus_citywide,spatial_500m,6000,1218,62,519,2023,54.81286776070124,1.069812690865788,-3.8241752342741453,117.95936178488627,0.9951084428563003,1.1621712020688748
geo_west_3101,ABS_mean_opposite_minus_citywide,spatial_500m,6000,1218,62,519,2023,238.6454381088497,1.3834643714787387,156.69713710315264,296.00584561446817,1.2419100628779522,1.499192645802421
geo_west_3101,DIFF_median_opposite_minus_citywide,spatial_500m,6000,1218,62,519,2023,-102.74771798850406,0.9275369795595448,-224.18027633124473,35.165087938337024,0.846370231755847,1.0274838292668544
geo_west_3101,MinMax_opposite_minus_citywide,spatial_500m,6000,1218,62,519,2023,120.05599544889776,1.211407903373029,83.74728040258468,159.96237798897357,1.1455329855068488,1.2843479432198925
geo_west_3101,FP_k3_opposite_minus_citywide,spatial_1000m,6000,1218,24,186,3766,820.5610541922847,3.6963913450928376,616.479511180436,1261.2297361990104,2.9570948170143105,5.172032924612329
geo_west_3101,WCL_raw_opposite_minus_citywide,spatial_1000m,6000,1218,24,186,3766,0.0,1.0,0.0,0.0,1.0,1.0
geo_west_3101,WCL_bc_opposite_minus_citywide,spatial_1000m,6000,1218,24,186,3766,54.81286776070124,1.069812690865788,-22.39528107209017,132.10662886041274,0.9670729824709633,1.2081656391061748
geo_west_3101,ABS_mean_opposite_minus_citywide,spatial_1000m,6000,1218,24,186,3766,238.6454381088497,1.3834643714787387,148.94222978024266,365.8122964472472,1.207068114183473,1.5322263261654754
geo_west_3101,DIFF_median_opposite_minus_citywide,spatial_1000m,6000,1218,24,186,3766,-102.74771798850406,0.9275369795595448,-269.2161660662902,66.09407931484867,0.8312318037959028,1.0501253682263776
geo_west_3101,MinMax_opposite_minus_citywide,spatial_1000m,6000,1218,24,186,3766,120.05599544889776,1.211407903373029,73.31736308622995,172.38652471791806,1.1309817397406787,1.332230882300559
geo_west_3101,FP_k3_opposite_minus_citywide,UTC_calendar_day,6000,1218,41,639,1756,820.5610541922847,3.6963913450928376,788.2055394816316,869.88086377048,3.4989933091561634,4.03907779831117
geo_west_3101,WCL_raw_opposite_minus_citywide,UTC_calendar_day,6000,1218,41,639,1756,0.0,1.0,0.0,0.0,1.0,1.0
geo_west_3101,WCL_bc_opposite_minus_citywide,UTC_calendar_day,6000,1218,41,639,1756,54.81286776070124,1.069812690865788,24.042056874940513,77.71641195876691,1.0290501343737921,1.1018096993116624
geo_west_3101,ABS_mean_opposite_minus_citywide,UTC_calendar_day,6000,1218,41,639,1756,238.6454381088497,1.3834643714787387,198.14721207630697,271.07510728844676,1.3003312096618393,1.4549702680852326
geo_west_3101,DIFF_median_opposite_minus_citywide,UTC_calendar_day,6000,1218,41,639,1756,-102.74771798850406,0.9275369795595448,-195.14112148252502,-25.445906801522597,0.8656625677250053,0.9809831039362564
geo_west_3101,MinMax_opposite_minus_citywide,UTC_calendar_day,6000,1218,41,639,1756,120.05599544889776,1.211407903373029,90.90733339822101,150.1755965347167,1.1596777715556494,1.2632880941623366
