experiment,direction,seed,calibration_arm,calibration_region,method,calibration_n,receivers,parent_direction_n,coverage_fraction,n,median_m,mean_m,p90_m,over_1km_fraction,nearest_database_median_m
geo_east_3103,east,3103,citywide,citywide,DIFF_median,8000,29,1263,1.0,1263,550.1091258158763,1124.361482427597,3208.108325850194,0.38163103721298497,
geo_east_3103,east,3103,citywide,citywide,MinMax,8000,29,1263,1.0,1263,240.80141117371338,490.8300833917124,1190.30385242344,0.1789390340459224,
geo_east_3103,east,3103,opposite,west,FP_k3,8000,29,1263,1.0,1263,614.8582072263807,1002.709765204531,1951.9359995956038,0.32304038004750596,487.00710727798145
geo_east_3103,east,3103,opposite,west,WCL_raw,8000,29,1263,1.0,1263,246.69723339514746,526.6908953588065,1348.7592834333218,0.18448139350752177,
geo_east_3103,east,3103,opposite,west,WCL_bc,8000,29,1263,1.0,1263,183.8977887649671,645.7897201917289,1695.9942817862243,0.2850356294536817,
geo_east_3103,east,3103,opposite,west,ABS_mean,8000,29,1263,1.0,1263,651.0072038701514,870.9304368535646,2116.6721391149886,0.3657957244655582,
geo_east_3103,east,3103,opposite,west,DIFF_median,8000,29,1263,1.0,1263,556.8706141628976,1185.344349155465,3321.3227863187976,0.41330166270783847,
geo_east_3103,east,3103,opposite,west,MinMax,8000,29,1263,1.0,1263,342.828101970398,558.8195785388102,1280.0328381806419,0.20506730007917656,
geo_west_3103,west,3103,citywide,citywide,FP_k3,8000,29,1232,0.9886363636363636,1218,307.8685586670955,430.24783601594316,891.8120475755097,0.0722495894909688,2.7740630694307336
geo_west_3103,west,3103,citywide,citywide,WCL_raw,8000,29,1232,0.9886363636363636,1218,631.2496610290386,791.946349183358,1630.8857770113273,0.2684729064039409,
geo_west_3103,west,3103,citywide,citywide,WCL_bc,8000,29,1232,0.9886363636363636,1218,781.9210064012691,890.0729623987257,1554.0059144957104,0.3399014778325123,
geo_west_3103,west,3103,citywide,citywide,ABS_mean,8000,29,1232,0.9886363636363636,1218,620.577722023616,767.2515047411473,1440.0164993556548,0.2315270935960591,
geo_west_3103,west,3103,citywide,citywide,DIFF_median,8000,29,1232,0.9886363636363636,1218,1459.6688154590947,1709.3706893997974,3506.251249908263,0.6297208538587848,
geo_west_3103,west,3103,citywide,citywide,MinMax,8000,29,1232,0.9886363636363636,1218,571.1017497188691,698.8531101430443,1333.8516135506527,0.20853858784893267,
geo_west_3103,west,3103,opposite,east,FP_k3,8000,29,1232,0.9886363636363636,1218,1128.9207886952888,1319.7726514678907,2104.472979117091,0.6190476190476191,743.1543584508155
geo_west_3103,west,3103,opposite,east,WCL_raw,8000,29,1232,0.9886363636363636,1218,631.2496610290386,791.946349183358,1630.8857770113273,0.2684729064039409,
geo_west_3103,west,3103,opposite,east,WCL_bc,8000,29,1232,0.9886363636363636,1218,839.6171487138125,936.3212550458599,1593.8554768549525,0.3817733990147783,
geo_west_3103,west,3103,opposite,east,ABS_mean,8000,29,1232,0.9886363636363636,1218,863.643294199197,1011.1279794384482,1736.455469607311,0.38013136288998356,
geo_west_3103,west,3103,opposite,east,DIFF_median,8000,29,1232,0.9886363636363636,1218,1319.3713334432223,1599.5020428025662,3142.3919693831554,0.6420361247947455,
geo_west_3103,west,3103,opposite,east,MinMax,8000,29,1232,0.9886363636363636,1218,689.2992479549196,804.7368982058266,1516.3170253200776,0.23891625615763548,
