experiment,contrast,numerator_arm,denominator_arm,scheme,n_messages,replicates,n_units,draw_size_min,draw_size_max,numerator_median_m,denominator_median_m,point_difference_m,point_ratio,difference_low_m,difference_high_m,ratio_low,ratio_high,numerator_worse_fraction,exact_ties,nonpositive_difference_draws
primary33,official_vs_raw:ABS_mean,official:ABS_mean,official:WCL_raw,UTC_calendar_day,2495,6000,52,1280,3699,527.7528095639876,480.087194862526,47.66561470146161,1.0992853281894153,12.107068880314745,85.48036053289104,1.0237385802858838,1.1995756356894152,0.4713426853707415,0,24
primary33,official_vs_raw:DIFF_median,official:DIFF_median,official:WCL_raw,UTC_calendar_day,2495,6000,52,1280,3699,999.9148450881116,480.087194862526,519.8276502255856,2.0827775782989573,432.6181728198503,645.6603286393145,1.91305413968946,2.3126664585409027,0.6376753507014028,0,0
primary33,official_vs_raw:HYBRID_mean,official:HYBRID_mean,official:WCL_raw,UTC_calendar_day,2495,6000,52,1280,3699,576.2585578497786,480.087194862526,96.17136298725262,1.200320616788772,55.36758929044286,135.82750351438833,1.1119423422523844,1.3017513903755502,0.4917835671342685,0,0
primary33,official_vs_raw:NLLS,official:NLLS,official:WCL_raw,UTC_calendar_day,2495,6000,52,1280,3699,524.8659538174048,480.087194862526,44.77875895487881,1.093272137715944,10.786291853656333,80.76156366289361,1.0207377350045723,1.1884168361812109,0.501002004008016,0,28
primary33,official_vs_raw:Trilat,official:Trilat,official:WCL_raw,UTC_calendar_day,2495,6000,52,1280,3699,585.0264617546227,480.087194862526,104.93926689209667,1.218583765647293,68.4525545958483,147.57732706490165,1.1392424516518287,1.3181076626517854,0.5959919839679358,0,0
primary33,official_vs_raw:MinMax,official:MinMax,official:WCL_raw,UTC_calendar_day,2495,6000,52,1280,3699,467.635802988949,480.087194862526,-12.451391873576995,0.9740643116358426,-50.13801893633439,33.617538763857894,0.9009595836188065,1.0800267564856045,0.3751503006012024,0,4260
primary33,official_vs_raw:FP_k3,coordinate_independent:FP_k3,official:WCL_raw,UTC_calendar_day,2495,6000,52,1280,3699,219.29225647763056,480.087194862526,-260.79493838489543,0.45677589159699494,-294.3158332689149,-214.76905473438578,0.4266746484902821,0.49262186022588406,0.1871743486973948,0,6000
no71,assignment:WCL_raw,rssfit_stable:WCL_raw,official:WCL_raw,paired_messages,2493,6000,2493,2493,2493,3623.7337930322697,479.4601660745637,3144.273626957706,7.557945475847354,3080.4849557945286,3209.382881572009,7.208992569022643,8.023365893665622,0.9899719213798637,0,0
no71,assignment:WCL_bc,rssfit_stable:WCL_bc,official:WCL_bc,paired_messages,2493,6000,2493,2493,2493,3112.7412287798347,582.1997800181365,2530.541448761698,5.346517356435394,2388.428051715918,2638.636129426412,5.020506031823466,5.668533474055358,0.9787404733253109,0,0
no71,assignment:ABS_mean,rssfit_stable:ABS_mean,official:ABS_mean,paired_messages,2493,6000,2493,2493,2493,1244.7414770108212,527.690987738094,717.0504892727272,2.358845434041441,678.2771908685469,790.2254870361043,2.255871638302887,2.514501518379154,0.8110709987966306,0,0
